Coiner,Category,Number,Site
John Hyrcanus I,Hasmonean,3,Dura-Europos
Alexander Jannaeus,Hasmonean,11,Dura-Europos
Uncertain,Hasmonean,22,Dura-Europos
Herod Archelaus,Herodian,2,Dura-Europos
Herod Agrippa I,Herodian,5,Dura-Europos
First Revolt,First Revolt,4,Dura-Europos
First Revolt,First Revolt,1,Horvat 'Ethri
Second Revolt,Second Revolt,3,Horvat 'Ethri
John Hyrcanus I,Hasmonean,3,Karpass
Aristobulus I,Hasmonean,1,Karpass
Alexander Jannaeus,Hasmonean,1,Karpass
Herod Agrippa I,Herodian,8,Karpass
Uncertain,Procurator,1,Karpass
Marcus Ambivulus,Procurator,1,Karpass
Valerius Gratus,Procurator,6,Karpass
Pontius Pilate,Procurator,9,Karpass
Antonius Felix,Procurator,2,Karpass
Porcius Festus,Procurator,10,Karpass
First Revolt,First Revolt,6,Karpass
Herod Archelaus,Herodian,1,Paphos
Valerius Gratus,Procurator,1,Paphos
Alexander Jannaeus,Hasmonean,1,Athens Agora
Herod Archelaus,Herodian,1,Athens Agora
Herod Agrippa I,Herodian,2,Athens Agora
First Revolt,First Revolt,1,Athens Agora
Second Revolt,Second Revolt,1,London
Second Revolt,Second Revolt,1,Vienna
Second Revolt,Second Revolt,9,Carnuntum
Second Revolt,Second Revolt,2,Brigetio
Second Revolt,Second Revolt,1,Ilisua
Second Revolt,Second Revolt,1,Pojejena
Second Revolt,Second Revolt,1,Sarmizegetusa
Valerius Gratus,Procurator,1,Mellia
John Hyrcanus II,Hasmonean,1,Nisibus
