Name,Lat,Long,Ref
Te'omim Cave,31.7260785,35.0207089,Zissu et al 2012
Horvat 'Ethri,31.649236,34.972262,Zissu et al 2012
Qiryat Sefer,31.9331585,35.043286,Bijovsky 2004
Dura-Europos,34.7487201,40.7297969,Bellinger 1949
Karpass,35.4999995,34.25,Harvey 2015
Paphos,34.7568404,32.4036729,Michaelidou-Nicolaou 1993
Athens Agora,37.9747853,23.7222275,Kroll and Walker 1993
London,51.5161316,-0.0969792,Eshel et al 2010
Vienna,48.2099708,16.3655454,Eshel et al 2010
Carnuntum,48.1113122, 16.8675059,Eshel et al 2010
Brigetio,47.732024,18.1974101,Eshel et al 2010
Ilisua,47.219815,24.0910541,Eshel et al 2010
Pojejena,44.747176, 21.6625527,Eshel et al 2010
Sarmizegetusa,45.5132335,22.7814388,Eshel et al 2010
Mellia,35.2862824,-2.9445265,Barrio unknown date
Nisibus,37.0770121,41.205492,Seyrig 1955
